total_tasks,completed_tasks,assigned_time_minutes,actual_time_minutes,productivity_score
14,1,5880,7806,34.42
14,6,5040,2860,96.2
10,10,3600,3929,96.65
11,3,4620,4351,58.84
14,11,5040,7077,75.63
9,5,4320,6137,61.49
20,5,4800,5619,49.17
15,12,4500,3135,100.0
7,4,3360,2950,79.85
17,12,8160,11875,69.84
14,5,4200,2387,91.81
12,4,4320,6171,48.0
5,3,1500,1538,75.01
18,4,4320,4431,52.33
13,11,3120,3367,87.83
7,0,2100,2783,30.18
12,4,5760,7542,50.55
6,0,1800,2458,29.29
15,0,4500,3859,46.64
15,0,3600,1919,75.04
13,13,6240,7264,94.36
12,7,3600,5372,61.81
7,3,2940,2921,65.97
20,9,9600,6643,84.81
13,5,5460,7892,50.75
12,10,2880,4182,77.55
20,14,4800,2701,100.0
15,11,7200,3821,100.0
16,5,7680,11517,45.42
12,4,4320,4271,60.46
7,7,2940,4239,87.74
18,18,6480,7005,97.0
7,0,1680,1725,38.96
10,9,3600,2012,100.0
18,6,8640,6152,76.18
5,5,1200,1168,100.0
8,3,3840,5488,50.49
8,6,3360,4236,76.73
20,8,9600,7873,72.77
13,3,5460,3280,80.43
10,10,2400,2466,98.93
15,11,6300,5318,91.39
5,2,2400,1304,97.62
19,11,5700,6178,71.64
10,2,4800,2576,86.53
11,0,5280,5767,36.62
7,0,3360,2559,52.52
12,9,5040,6737,74.92
15,5,6300,8063,51.25
15,15,3600,2963,100.0
9,0,2160,2136,40.45
15,11,5400,3292,100.0
11,3,5280,3719,73.15
6,6,2880,2806,100.0
18,10,4320,2343,100.0
19,6,7980,8018,58.76
9,3,4320,6321,47.34
6,3,1800,2624,57.44
7,7,2940,1757,100.0
19,15,7980,5024,100.0
15,1,5400,4177,55.71
17,16,5100,5781,91.76
15,5,3600,4483,52.12
19,12,7980,5906,91.94
8,4,1920,2677,58.69
7,7,3360,2944,100.0
6,5,2880,3225,85.72
8,2,2400,2276,57.18
10,8,3600,5010,76.74
19,1,6840,9396,32.28
14,6,5880,8713,52.71
15,10,7200,5861,89.14
14,11,5880,5348,91.12
16,1,5760,4129,59.55
11,9,2640,2883,85.72
16,13,5760,5542,90.32
20,1,9600,13450,31.55
10,10,3000,4413,87.19
15,2,4500,6143,37.3
10,1,3600,2129,73.64
16,11,7680,6887,85.86
20,1,7200,8034,38.85
13,1,6240,3860,69.28
16,1,4800,2840,71.36
9,5,3780,5294,61.89
20,4,4800,5481,47.03
19,1,9120,13188,30.82
16,4,5760,4103,71.15
6,0,1800,2169,33.2
8,3,2400,3376,50.94
8,4,1920,1378,85.73
19,17,6840,7184,91.77
15,13,5400,7454,80.98
12,2,5040,4438,55.43
9,6,2160,2595,73.29
12,10,5040,3024,100.0
13,8,5460,7199,67.26
6,1,2160,2907,39.72
17,16,4080,2272,100.0
5,1,1500,1386,55.29
10,6,3000,2832,78.37
5,5,1200,1346,95.66
16,11,7680,6851,86.09
19,3,5700,6054,47.13
12,6,3600,3659,69.36
11,9,5280,4093,100.0
10,2,3000,1554,89.22
19,18,7980,9970,88.86
10,4,4200,3003,79.94
19,3,6840,8006,43.65
19,13,5700,4266,94.5
10,9,3000,2239,100.0
18,10,8640,8220,75.38
16,10,4800,6793,65.76
10,7,2400,3364,70.54
14,1,3360,3050,48.35
8,2,1920,2653,43.95
20,17,8400,12583,77.7
9,8,2160,2889,83.24
10,9,2400,2956,86.48
5,3,1200,1236,74.83
14,9,4200,4199,78.58
9,1,4320,6160,34.72
14,3,5880,5767,53.64
8,7,3360,3562,90.23
18,2,8640,11386,37.02
17,17,4080,5937,87.49
20,14,9600,12756,72.1
13,12,3120,4093,85.88
19,6,7980,9152,53.82
10,7,4800,7154,68.84
10,2,4800,6869,39.95
18,9,7560,7195,72.03
9,7,4320,5293,79.31
18,9,6480,7146,66.27
10,1,4200,5371,37.28
19,12,4560,5775,69.48
5,3,1200,718,100.0
19,10,5700,7152,63.46
5,3,1800,2648,63.19
17,6,8160,6886,68.58
13,11,3900,3192,99.64
12,8,2880,2660,83.31
19,18,4560,6558,84.66
5,1,1500,1087,67.2
6,5,2520,2963,84.02
8,0,3840,2741,56.04
20,20,9600,6965,100.0
12,6,2880,2843,70.52
10,6,4800,4955,74.75
11,8,3960,3600,87.64
5,4,1800,2636,75.31
13,8,3900,2311,100.0
13,8,5460,8177,63.63
11,2,2640,1969,64.54
18,7,4320,4374,62.84
18,3,8640,12122,38.51
9,8,3240,2792,99.75
15,11,6300,5380,90.84
16,2,5760,4131,63.27
11,6,5280,5599,70.45
19,6,7980,5343,78.69
11,10,3300,4731,82.45
8,3,3360,4117,55.15
5,3,1800,1536,82.88
8,3,2880,2620,66.47
11,4,3960,3921,62.22
8,6,2880,1871,100.0
17,1,7140,8798,35.99
17,1,5100,7274,31.57
19,6,7980,7541,61.28
16,14,3840,4103,89.94
5,0,1200,1652,29.06
18,14,8640,4866,100.0
18,0,5400,3217,67.14
14,12,6720,5163,100.0
10,9,4200,2400,100.0
12,4,5040,7052,48.59
15,15,7200,5904,100.0
18,4,6480,6378,53.97
5,0,1800,1412,50.99
18,1,8640,7447,49.74
14,7,5880,3572,95.85
18,12,5400,6546,73.0
10,4,3000,4168,52.79
19,19,5700,3225,100.0
14,7,6720,4444,90.49
8,7,3360,2438,100.0
19,3,4560,6304,38.41
20,7,6000,5215,67.02
20,2,4800,4786,46.12
19,10,7980,5477,89.86
8,3,3840,5144,52.36
16,1,7680,6943,48.0
9,5,2700,3527,63.95
14,12,6720,4376,100.0
12,7,3600,4743,65.36
11,4,3300,3770,56.83
16,12,3840,2328,100.0
5,1,1200,756,75.49
10,4,4200,5394,55.15
12,12,3600,3805,97.84
16,2,4800,3965,55.92
16,7,6720,9190,55.5
10,3,4200,2289,91.39
14,4,6720,4834,72.75
15,4,3600,2433,75.19
6,6,2160,1708,100.0
15,10,5400,4880,84.26
11,8,3300,2374,99.24
6,2,1440,1518,57.94
7,7,2520,3737,86.97
10,3,3000,2745,61.72
19,4,9120,11679,43.87
17,13,8160,11829,73.48
5,4,1500,1480,88.54
14,14,4200,4743,95.42
15,2,3600,3356,50.91
20,11,4800,6035,64.81
17,13,6120,8477,74.76
19,15,4560,3770,95.75
7,6,2940,4159,79.7
19,7,9120,6135,81.57
16,11,5760,4891,88.36
5,4,1200,1189,88.37
18,10,5400,3854,89.38
18,12,6480,9155,68.31
16,12,5760,6211,82.1
9,9,4320,3867,100.0
15,4,6300,4273,74.97
7,4,2520,2500,74.61
8,8,2400,2227,100.0
14,5,5880,8673,48.55
10,0,3600,4592,31.36
5,2,2400,3473,51.64
18,0,6480,7248,35.76
13,12,4680,6454,84.39
15,7,5400,3619,87.68
12,4,2880,2027,76.83
17,4,5100,6892,43.72
14,11,5880,5039,93.82
9,3,3780,1966,96.91
14,8,5040,2678,100.0
15,13,4500,5303,85.94
15,4,5400,4245,66.88
13,1,3900,5147,34.92
18,1,5400,6886,34.7
8,3,3840,4414,57.3
20,10,9600,8551,74.91
5,5,2400,3217,89.84
8,6,3840,4645,78.07
9,8,2700,3724,82.33
13,8,5460,5665,75.48
8,3,2400,3509,49.86
7,2,1680,1813,54.21
10,7,3000,1957,100.0
8,5,2400,2495,75.98
16,7,3840,2260,94.21
19,12,6840,4065,100.0
10,6,3600,4186,70.4
12,9,5760,6960,78.1
11,6,2640,3674,61.47
14,7,5040,3449,88.45
18,10,6480,9539,60.51
16,2,4800,6446,37.29
15,10,7200,9263,71.09
17,2,6120,9122,33.9
11,8,2640,2416,87.34
6,3,1440,1064,84.14
17,10,7140,8047,70.79
10,9,2400,2954,86.5
13,9,3900,2877,95.76
6,4,2160,2131,80.54
17,0,5100,6483,31.47
5,2,1800,1330,78.14
11,11,5280,5140,100.0
17,6,8160,4447,94.57
20,4,8400,7154,58.97
18,3,4320,3085,66.01
17,2,4080,2478,72.92
10,7,4800,2411,100.0
5,1,2100,2661,43.57
12,9,5760,5500,86.89
5,1,2100,1115,87.34
18,9,7560,7361,71.08
14,10,3360,2483,96.99
13,7,4680,6089,63.05
14,10,3360,4235,74.59
9,4,2160,3119,54.37
20,0,4800,6297,30.49
19,15,9120,8280,91.43
6,2,2880,4163,47.67
11,11,5280,5829,96.23
7,4,2940,1538,100.0
9,8,2160,2618,86.34
6,3,2880,4263,57.02
16,3,4800,5590,45.6
15,10,4500,3735,88.19
17,9,8160,8392,70.66
13,3,3120,2280,68.58
13,9,6240,4880,92.69
12,6,2880,3795,60.36
16,13,7680,7745,88.41
19,6,7980,10107,50.53
14,12,6720,4795,100.0
18,14,6480,7765,80.05
8,1,2880,1938,66.94
18,7,6480,9471,50.7
8,6,3360,4733,73.4
20,8,8400,6972,72.19
7,3,2940,2471,73.31
16,9,3840,3597,76.45
20,8,7200,5347,77.86
12,7,4320,3888,79.44
8,8,2400,1785,100.0
11,8,2640,3177,76.88
10,8,3600,3530,88.79
18,15,7560,7918,88.19
10,8,4800,6317,78.39
19,14,6840,8640,75.88
8,0,2400,3351,28.65
14,13,5880,4307,100.0
10,8,4200,2642,100.0
8,1,1920,2267,41.38
11,5,5280,3097,95.47
9,2,3240,4784,40.42
10,7,3600,2506,99.46
12,8,3600,2498,97.65
14,1,4200,5429,35.23
7,2,2520,3655,44.72
9,7,3240,2745,93.88
15,6,7200,7437,62.73
9,7,4320,2866,100.0
9,5,4320,5738,63.45
11,5,2640,2829,64.6
6,6,2880,2037,100.0
15,5,7200,9093,51.67
13,5,3900,2768,79.44
20,2,6000,5591,48.93
12,6,2880,3998,58.81
17,14,5100,5670,85.39
19,7,7980,5694,78.16
17,8,7140,8387,62.29
16,7,7680,4300,97.69
6,0,1440,1248,46.15
13,0,5460,2798,78.06
18,10,4320,2763,95.87
19,0,5700,2865,79.58
20,11,4800,2775,100.0
18,2,6480,7156,42.89
6,2,1440,1222,67.14
15,13,5400,3696,100.0
13,0,5460,7454,29.3
13,8,5460,5658,75.52
11,11,2640,2761,98.25
14,2,3360,4102,41.34
15,7,4500,2282,100.0
20,2,4800,5072,43.85
19,8,5700,4550,75.37
18,8,5400,6630,59.25
9,7,4320,5695,77.01
14,10,6720,7237,80.0
16,2,5760,6933,40.73
10,7,4200,6286,68.73
16,14,7680,8626,88.11
8,1,2880,3317,42.23
14,0,5040,4909,41.07
16,6,4800,7110,49.5
16,1,3840,4518,37.75
12,7,3600,4252,68.87
9,4,2700,3478,57.72
7,4,2940,4249,61.96
15,0,4500,5231,34.41
9,6,2700,2396,85.08
10,9,3000,2295,100.0
7,1,2520,1909,61.37
6,1,1440,1113,61.75
5,2,1200,1736,51.65
20,11,8400,11834,61.39
7,0,2100,1304,64.42
19,10,5700,4556,81.62
17,14,4080,3341,98.26
18,15,4320,2882,100.0
7,5,3360,2556,95.44
10,8,4200,5215,80.21
11,11,5280,7822,87.0
17,16,8160,8081,96.86
15,2,7200,9316,38.91
11,1,3960,5614,33.67
7,5,2520,2859,78.11
20,4,9600,8222,58.7
9,4,2160,3163,53.98
14,13,6720,6821,95.12
6,6,1440,2044,88.18
8,6,2880,2766,86.65
11,5,3960,3671,70.42
11,9,5280,5144,90.15
18,17,8640,11107,87.78
19,9,9120,12873,56.76
15,10,4500,3934,85.75
14,3,5040,4134,61.62
7,1,3360,2107,72.36
6,3,1440,780,100.0
11,2,3960,5388,40.31
9,6,2700,2075,92.05
11,9,5280,6055,83.97
16,15,3840,4906,87.56
14,3,6720,3699,85.53
16,14,3840,5212,81.97
17,6,4080,3677,65.56
18,7,4320,2851,83.94
11,7,5280,7272,67.22
18,9,4320,4058,72.58
8,2,3840,5623,42.32
20,4,4800,2804,80.47
14,7,3360,2103,93.91
18,15,4320,5069,84.09
18,10,4320,2996,91.01
7,3,2940,2884,66.49
17,0,6120,4781,51.2
8,7,1920,1601,100.0
9,0,3780,3695,40.92
17,9,4080,2322,100.0
17,13,7140,8912,77.93
18,8,7560,4858,88.91
11,2,3300,2564,62.39
16,16,6720,9752,87.56
14,2,6720,5998,53.39
9,6,4320,3679,86.97
16,7,6720,5353,76.46
16,7,7680,7144,69.25
8,6,2400,1229,100.0
13,9,3900,2737,98.54
9,1,3780,3939,45.05
11,3,3960,5725,44.03
7,4,3360,5003,61.15
20,14,6000,4629,93.85
18,1,8640,8851,42.38
5,1,2400,1658,69.9
14,0,5880,5119,45.95
20,3,7200,9693,38.71
19,15,9120,4651,100.0
11,0,2640,1750,60.34
16,2,6720,4272,70.42
9,7,2160,2834,77.15
17,5,7140,6132,64.22
11,3,3300,3257,56.89
6,3,2880,1935,89.53
18,18,7560,7564,99.98
5,5,2100,2954,88.44
11,4,4620,2704,90.16
6,4,2160,2081,81.52
7,0,2520,2786,36.18
11,2,2640,3946,37.67
13,6,3120,3854,60.07
15,10,4500,4120,83.69
17,6,7140,10184,49.22
20,10,7200,4963,88.03
15,3,5400,7288,41.64
7,6,2520,3680,78.82
5,3,2100,2312,72.33
20,10,9600,6170,92.24
13,8,4680,2462,100.0
20,8,6000,5895,64.71
8,8,2400,2572,97.33
6,5,2880,2578,94.69
9,9,4320,6013,88.74
10,3,4200,3336,68.36
12,3,4320,3501,64.36
14,4,5040,5164,56.18
11,8,4620,4330,86.32
6,1,2160,2959,39.2
12,3,5040,2973,82.81
6,0,2880,3415,33.73
19,7,6840,6858,62.0
10,10,2400,2151,100.0
9,3,2160,1598,74.07
13,8,3120,3274,75.04
12,9,5040,4507,89.73
8,4,3840,5757,56.68
20,13,4800,2660,100.0
18,6,4320,3621,67.72
13,13,4680,2988,100.0
12,9,2880,1562,100.0
12,1,5040,6364,36.68
20,10,9600,8116,77.31
9,3,4320,4645,57.2
19,13,5700,5267,84.34
8,5,1920,2189,72.58
7,6,2520,3138,83.55
18,5,4320,3230,70.17
11,11,5280,2906,100.0
6,2,1800,1325,74.34
20,1,7200,5960,51.32
14,10,5040,7408,70.07
18,0,8640,4767,72.5
6,3,1800,2030,65.47
8,0,2400,1478,64.95
6,3,1800,2594,57.76
13,9,6240,3643,100.0
6,5,2520,2374,92.46
9,7,4320,4549,84.65
17,8,7140,7356,67.06
19,1,7980,9949,35.24
17,10,4080,2184,100.0
10,3,4200,2768,78.69
14,4,3360,2796,65.21
20,17,4800,3676,100.0
11,11,3300,2947,100.0
19,7,4560,3622,72.46
15,13,5400,2743,100.0
9,1,4320,5349,38.97
9,2,3240,3213,53.67
18,2,4320,2406,78.49
19,3,9120,5622,74.36
10,5,4200,2968,86.6
8,6,3840,3190,93.15
12,3,5760,4066,71.67
15,7,6300,9224,55.32
14,14,3360,2063,100.0
18,8,4320,3612,74.51
19,0,6840,4289,63.79
19,17,9120,10157,89.6
9,9,3780,1903,100.0
5,5,1800,2082,94.58
16,1,6720,5823,49.91
13,0,3120,3130,39.87
10,2,3600,1981,84.69
8,7,3840,5218,81.94
9,3,2700,2902,57.22
6,6,1800,2210,92.58
19,13,9120,12172,71.02
18,1,4320,5021,37.75
11,3,3960,2061,93.22
13,11,4680,3540,100.0
13,10,5460,4419,95.58
9,8,4320,4623,90.71
6,0,1800,2352,30.61
12,6,5760,8215,58.05
13,4,3900,5433,47.17
6,3,2520,2737,66.83
20,12,7200,8695,69.12
13,0,3120,2049,60.91
8,1,1920,2848,34.47
16,13,3840,5628,76.04
10,3,3600,3453,59.7
20,18,4800,4374,97.9
7,0,1680,1622,41.43
5,3,2400,1280,100.0
16,13,3840,3677,90.52
6,4,2520,1264,100.0
19,6,4560,6264,48.07
10,6,3000,2204,90.45
5,2,1500,1436,65.78
9,8,3780,3147,100.0
18,8,6480,8021,58.98
16,12,4800,6768,73.37
19,11,4560,4025,80.05
18,8,7560,7943,64.74
16,1,5760,5546,45.29
18,17,6480,5140,100.0
18,4,8640,9819,48.53
13,4,4680,6766,46.13
18,4,4320,4343,53.12
19,10,5700,5611,72.21
7,4,2940,3410,68.77
13,11,3120,4292,79.85
14,1,5040,5918,38.35
6,3,2880,1583,100.0
11,5,3300,4132,59.22
19,17,5700,6727,87.58
18,12,7560,7717,79.19
17,8,7140,10397,55.7
15,0,5400,7006,30.83
11,2,2640,2621,51.2
6,2,2160,3159,47.35
5,1,1200,1313,48.56
10,6,3600,4895,65.42
11,6,2640,1974,86.22
12,11,2880,4078,83.25
14,3,3360,3650,49.68
15,8,6300,8355,62.16
5,3,1200,804,95.7
13,3,3900,4390,49.38
8,3,1920,2466,53.64
14,6,5880,5315,69.97
9,9,2700,3886,87.79
14,10,5040,3767,96.37
9,9,4320,2743,100.0
6,6,1440,1188,100.0
12,1,4320,4087,47.28
17,16,8160,6944,100.0
16,11,3840,2959,93.16
10,7,4800,2961,100.0
15,5,7200,7327,59.31
18,9,4320,4744,66.42
19,0,4560,5473,33.33
15,15,5400,4447,100.0
19,9,4560,5808,59.83
7,7,1680,1640,100.0
6,6,2520,3695,87.28
10,3,4200,2786,78.3
8,1,1920,1246,69.14
6,3,1800,2162,63.3
20,1,6000,5350,47.86
16,7,4800,5381,61.93
16,14,5760,3200,100.0
13,0,4680,5509,33.98
16,14,7680,8088,90.48
16,14,7680,10746,81.09
16,14,3840,4775,84.67
17,3,4080,2597,73.43
5,4,2100,2733,78.74
14,4,5040,4834,58.85
16,2,4800,2602,81.29
10,8,3000,4424,75.12
10,3,3000,1552,95.32
18,15,6480,4393,100.0
9,5,4320,2178,100.0
18,9,8640,10324,63.48
10,0,4200,5953,28.22
18,3,8640,11871,39.11
9,4,2160,2101,67.79
6,1,2160,1357,73.67
8,1,3840,2302,74.22
10,7,3600,4776,72.15
9,7,3240,2883,91.62
11,10,4620,4853,92.62
16,15,4800,7028,83.57
12,6,5040,7139,58.24
6,5,1800,2306,81.22
5,0,1200,874,54.92
6,4,1440,1457,79.53
6,4,1800,1277,96.38
16,14,7680,7145,95.5
12,12,3600,1888,100.0
9,6,4320,2865,100.0
20,17,8400,8276,91.6
20,12,4800,2796,100.0
17,4,6120,6746,50.41
10,4,4800,4890,63.26
13,0,6240,4107,60.77
15,3,5400,6324,46.16
18,10,8640,5413,97.18
5,4,1200,1430,81.57
10,3,4800,4217,63.53
5,2,2400,1426,91.32
10,10,3000,2854,100.0
6,1,2160,1208,81.52
9,1,4320,6478,33.34
13,0,3120,4307,28.98
9,0,4320,3879,44.55
16,6,5760,5841,61.95
9,0,3780,2570,58.83
18,7,7560,8901,57.31
9,8,4320,5037,87.64
19,7,7980,6699,69.75
17,14,8160,5808,100.0
17,13,7140,9314,76.55
16,2,4800,2923,73.19
20,11,8400,11682,61.76
6,5,1440,1290,94.65
9,2,3780,2669,69.98
15,9,6300,5851,79.07
16,4,3840,3548,58.29
7,5,3360,4533,72.51
17,8,4080,3689,72.47
18,18,5400,4446,100.0
5,3,2400,3365,64.53
9,9,2160,2320,97.24
12,7,2880,2660,78.31
20,17,6000,7435,83.28
13,3,3120,3826,46.47
12,7,4320,2242,100.0
10,10,2400,2535,97.87
5,1,1500,985,72.91
17,17,4080,3892,100.0
11,8,4620,3640,94.41
19,0,4560,6282,29.04
19,8,6840,8825,56.27
13,11,3120,2547,99.77
7,2,2100,1222,85.88
12,6,5040,6457,61.22
8,2,1920,2124,51.16
19,5,5700,7196,47.47
13,8,5460,4303,87.68
20,10,6000,4346,85.22
6,1,1440,1130,60.97
7,5,2520,2547,82.43
17,11,8160,5204,100.0
17,5,4080,4692,52.43
11,0,3300,2071,63.74
17,16,4080,3418,100.0
10,8,3000,1633,100.0
11,10,3960,2064,100.0
6,6,1440,2017,88.56
8,1,2400,1435,74.4
10,2,4200,3891,55.18
20,0,6000,7995,30.02
15,2,5400,4380,57.32
19,19,7980,11866,86.9
8,8,1920,1266,100.0
7,7,1680,921,100.0
20,12,6000,4110,94.39
19,18,4560,2558,100.0
11,3,3960,3993,56.03
13,0,6240,4897,50.97
14,11,5040,4199,95.15
11,4,4620,6769,49.12
20,10,4800,3719,81.63
12,7,5760,5532,76.65
7,1,2100,1086,85.92
14,9,5880,4748,88.11
9,1,3240,4054,38.64
11,5,2640,3390,58.42
7,4,2520,2679,71.91
14,6,6720,6459,67.33
12,7,3600,3338,78.14
14,2,4200,3512,56.41
6,2,1800,1198,80.1
13,5,3900,5652,50.68
9,8,3780,3522,96.26
6,6,1800,2401,89.99
20,10,7200,7111,70.5
7,6,2100,2048,92.44
8,1,1920,1982,46.25
5,4,1800,1554,94.33
11,1,3960,3873,46.35
9,2,3780,5110,42.92
6,6,2880,4083,88.21
11,2,5280,4395,58.96
8,5,1920,1592,85.74
14,8,4200,3190,86.95
11,7,3300,4776,65.82
16,0,5760,7483,30.79
5,2,1800,2616,51.52
7,1,2100,1408,68.23
17,4,5100,4801,56.61
16,11,4800,3347,98.61
5,3,1500,1743,70.42
14,6,3360,2448,80.62
6,1,2880,1963,68.69
16,10,7680,6717,83.23
8,0,2400,3059,31.38
9,7,3780,2852,99.68
12,3,3600,1914,90.24
17,6,8160,8190,61.03
12,0,2880,2444,47.14
12,12,3600,4103,95.1
8,2,3360,2408,70.81
14,14,5880,5294,100.0
12,3,3600,3866,52.25
8,2,3840,2540,75.47
13,1,6240,5505,49.96
10,5,4800,5483,65.02
8,1,2400,2506,45.81
6,0,2880,3949,29.17
13,1,6240,8107,35.4
7,4,2100,1405,94.07
18,11,4320,4904,71.9
10,4,4200,5950,52.24
20,15,8400,8171,86.12
12,0,5040,5944,33.92
7,7,1680,1361,100.0
15,14,5400,7594,84.44
8,2,2880,3559,47.37
18,11,4320,3011,94.06
6,3,2520,2811,65.86
9,5,3780,3358,78.36
13,11,5460,5014,94.33
8,3,2400,2954,55.0
12,2,5760,5284,53.6
12,12,2880,2149,100.0
11,2,2640,2266,57.51
8,5,1920,1335,95.03
13,0,6240,3420,72.98
18,12,7560,10068,70.04
13,7,3120,4579,59.56
9,1,3780,2822,60.25
8,5,2400,3561,64.46
20,9,7200,9832,56.29
9,5,3240,1726,100.0
20,0,6000,5601,42.85
7,6,2520,3456,80.6
16,2,6720,3432,85.82
8,6,3840,2075,100.0
20,0,8400,7898,42.54
6,6,2160,1905,100.0
13,13,5460,4302,100.0
12,9,5040,4601,88.82
19,2,9120,11877,37.03
11,6,3960,3553,77.31
17,2,6120,8289,36.59
19,2,4560,6328,35.14
18,5,4320,5260,49.52
11,0,3300,4928,26.79
14,10,5880,4420,96.07
12,10,5760,4871,97.3
18,16,5400,3290,100.0
20,20,8400,7687,100.0
5,5,1200,1322,96.31
20,20,8400,6379,100.0
12,9,4320,2316,100.0
20,9,4800,3466,82.4
7,2,3360,4995,44.05
18,14,6480,6992,83.74
12,0,3600,4931,29.2
12,9,5760,7255,76.76
6,4,2520,1260,100.0
13,0,3120,4475,27.89
19,17,5700,8493,80.53
7,6,2940,2956,91.21
14,10,3360,4765,71.06
17,2,6120,3931,69.33
8,1,1920,2198,42.44
12,12,4320,2932,100.0
8,2,3840,2547,75.31
5,1,2400,1901,62.5
7,3,2100,2936,54.32
17,2,8160,8205,46.84
20,14,7200,8778,74.81
16,11,6720,4399,100.0
11,8,5280,2949,100.0
16,4,4800,5469,50.11
13,5,3900,5083,53.77
12,6,5040,3942,81.14
14,8,5880,5977,73.64
9,2,2160,3105,41.16
6,6,2160,2861,90.2
17,0,7140,6400,44.62
8,3,2880,2070,78.15
20,4,6000,7238,45.16
13,8,5460,7182,67.33
9,4,2700,2147,76.97
6,1,2880,1552,84.23
12,2,2880,2842,50.53
16,4,3840,2256,83.09
17,14,4080,5681,78.14
11,11,3960,5056,91.33
14,10,3360,2848,90.05
19,14,6840,9927,71.77
18,2,7560,10593,35.21
15,4,4500,4913,52.64
20,16,4800,3820,98.26
12,3,3600,5052,43.5
5,3,1800,1586,81.4
12,11,5040,3296,100.0
11,1,2640,2724,44.22
18,18,7560,7202,100.0
14,7,5880,7066,63.29
19,4,7980,8713,49.27
10,1,3000,1600,81.0
9,6,4320,2475,100.0
6,4,2880,4023,68.64
10,6,2400,1696,92.6
12,11,5760,6847,88.65
6,6,2160,3034,88.48
19,4,7980,5967,66.13
14,13,5880,3180,100.0
9,8,2160,2494,87.98
17,0,7140,5937,48.11
7,4,2520,2266,78.77
10,3,4800,2832,85.8
16,7,6720,5372,76.29
20,14,7200,8013,77.94
16,2,7680,7140,50.53
16,1,6720,7919,37.69
17,10,5100,5219,74.38
19,4,6840,5657,61.0
12,4,5760,6149,57.47
13,11,3900,5019,81.85
8,6,2880,2805,86.07
15,1,3600,3969,40.28
9,6,2160,1364,100.0
5,2,1800,1792,64.18
14,9,3360,3130,81.51
5,0,1500,2216,27.08
13,4,6240,3262,94.98
5,5,1200,1238,98.77
8,4,2880,1475,100.0
13,4,4680,5483,52.6
9,0,2160,1369,63.11
16,16,6720,4907,100.0
19,9,9120,4870,100.0
6,2,1440,931,81.87
5,1,1800,1642,55.85
5,1,2100,2802,41.98
16,11,6720,8875,71.54
11,4,4620,2355,100.0
6,0,1440,1040,55.38
7,5,3360,2794,90.96
14,9,5040,4972,79.12
5,1,1800,1479,60.68
10,2,3000,1843,77.11
18,3,5400,7755,37.85
17,1,5100,2926,73.25
12,0,5040,6281,32.1
17,15,8160,9433,87.54
19,1,4560,3834,50.73
12,3,5760,4602,65.07
16,9,4800,5664,67.65
18,2,4320,5936,35.78
12,10,5760,6809,83.84
14,12,6720,6167,95.02
10,1,2400,2479,44.73
20,13,9600,9409,79.81
13,6,3900,3235,75.91
5,4,1800,2681,74.86
5,5,1500,1787,93.58
17,9,6120,5737,74.44
16,12,3840,4627,78.2
9,4,2700,2634,67.67
8,8,3840,2356,100.0
16,9,3840,2863,87.4
5,3,1500,1036,93.92
13,3,5460,3854,70.51
16,8,4800,4648,71.31
6,2,1800,2248,52.03
16,4,6720,5623,62.8
10,1,3600,1875,82.8
11,8,2640,3473,74.04
20,3,7200,3884,83.15
6,0,2160,2206,39.17
13,11,3900,5201,80.76
9,6,2700,1650,100.0
20,11,4800,7158,59.82
11,4,2640,3791,49.67
20,17,6000,6275,89.25
11,10,4620,4333,97.19
12,10,3600,3812,87.78
11,3,4620,4861,54.38
18,6,6480,8722,49.72
20,20,9600,10619,96.16
19,1,9120,13611,29.96
10,2,3600,3315,55.44
7,3,2100,1778,72.96
18,4,8640,9900,48.24
5,2,2400,1906,74.37
6,3,1440,1628,65.38
10,10,4800,6294,90.51
12,7,3600,4391,67.79
18,10,5400,5527,72.41
13,11,4680,3183,100.0
7,2,2100,1174,88.69
20,18,8400,5145,100.0
14,7,6720,4230,93.55
5,1,2100,1687,61.79
19,13,9120,11715,72.19
18,16,5400,2881,100.0
18,9,4320,2945,88.68
13,3,5460,7156,44.37
9,5,2160,1999,76.55
14,14,3360,2972,100.0
5,2,1800,1144,86.94
9,0,4320,3341,51.72
6,6,2160,2834,90.49
8,7,1920,1927,92.35
19,4,6840,7189,50.69
14,0,3360,4639,28.97
11,1,4620,6110,35.7
17,8,6120,5953,69.36
13,4,3900,3355,64.96
14,6,5040,7499,52.6
15,3,5400,4572,59.24
14,4,6720,9211,46.33
13,13,6240,4801,100.0
13,1,5460,7277,34.63
8,7,1920,1657,98.85
11,1,4620,3790,54.21
15,11,7200,8520,77.8
8,5,2400,2632,73.97
6,4,2520,3174,71.76
13,8,4680,6506,65.7
17,5,7140,9940,46.38
9,0,2700,3089,34.96
7,6,2520,2515,91.51
20,19,7200,9619,86.94
11,2,3300,4641,39.35
18,12,8640,8501,80.65
14,0,4200,5715,29.4
7,5,3360,3397,82.42
9,8,3240,3286,92.77
12,2,3600,4247,43.91
9,6,2700,2887,77.41
6,2,2160,1126,96.73
7,6,3360,3819,86.62
17,16,6120,6434,94.52
14,12,6720,5059,100.0
16,11,6720,7972,74.97
9,5,3780,2942,84.73
17,9,7140,6530,75.5
10,5,2400,2329,71.22
12,8,2880,2036,96.58
18,16,6480,6106,95.78
7,1,2940,1796,74.05
6,6,2160,2597,93.27
20,0,9600,12258,31.33
